Train accuracy,Test accuracy
99.99,92.11
99.976,92.08
99.992,92.22
99.988,92.2
99.99,92.14
99.99,92.01
99.988,92.15
99.99,92.1
99.984,92.01
99.978,92.19
99.988,92.19
99.986,92.27
99.986,92.08
99.99,92.12
99.994,92.16
99.996,92.02
99.994,92.18
99.984,92.13
99.978,92.13
99.994,92.19
99.986,92.07
99.99,92.06
99.992,92.03
100.0,92.1
99.986,92.02
99.98,92.03
99.988,92.08
99.988,92.06
99.98,91.98
99.994,91.98
99.986,92.08
99.98,92.02
99.986,92.28
99.99,92.04
99.994,92.08
99.992,92.21
99.978,92.2
99.986,92.24
99.994,92.18
99.986,92.07
99.994,92.04
99.992,92.1
99.99,92.17
99.994,92.1
99.99,92.07
99.984,92.08
99.992,92.18
99.992,92.13
99.988,92.1
99.99,92.2
99.984,92.13
99.984,92.23
99.996,92.13
99.982,92.11
99.98,92.18
99.99,92.15
99.99,92.1
99.986,92.09
99.99,92.16
99.992,92.3
99.996,92.07
99.992,92.18
99.984,92.13
99.988,92.12
99.988,92.15
99.988,92.16
99.994,92.24
99.99,92.12
99.978,92.09
99.982,92.13
99.986,91.97
99.994,92.09
99.988,92.15
99.994,92.16
99.996,92.2
99.99,92.14
99.994,92.23
99.986,92.08
99.994,92.16
99.996,92.17
99.99,92.2
99.992,92.19
99.99,92.13
99.99,92.13
99.994,92.08
99.988,92.16
99.994,92.17
99.99,92.28
99.988,92.13
99.988,92.11
99.99,92.06
99.99,92.04
99.992,92.02
99.994,92.05
99.99,92.12
99.994,92.08
99.99,92.1
99.994,92.16
99.988,92.12
99.99,92.1
99.99,92.16
99.992,92.14
